id,NAME,YEAR,REQUIRE,CATEGORY,TERM
1,Triết học Mác-Lênin,1,1,Đại cương,1
2,Kinh tế chính trị Mác-Lênin,1,1,Đại cương,1
3,Vi tích phân 1B,1,1,Đại cương,1
4,Thực hành vi tích phân 1B,1,1,Đại cương,1
5,Vật lý đại cương 1 (Cơ - Nhiệt),1,1,Đại cương,1
6,Giới thiệu ngành Vật lý y khoa,1,1,Đại cương,1
7,Anh văn 1,1,2,Đại cương,1
8,Thể dục 1,1,2,Đại cương,1
9,Tin học cơ sở,1,2,Đại cương,1
10,Giáo dục quốc phòng – An ninh,1,2,Đại cương,1
11,Hóa đại cương 1,1,1,Đại cương,2
12,Pháp luật đại cương,1,1,Đại cương,2
13,Vi tích phân 2B,1,1,Đại cương,2
14,Đại số tuyến tính,1,1,Đại cương,2
15,Vật lý đại cương 2 (Điện từ - Quang),1,1,Đại cương,2
16,Vật lý đại cương 3 (Cơ - Nhiệt nâng cao),1,1,Đại cương,2
17,Thực hành Vật lý đại cương,1,1,Đại cương,2
18,Anh văn 2,1,2,Đại cương,2
19,Thể dục 2,1,2,Đại cương,2
20,Chủ nghĩa xã hội khoa học,2,1,Đại cương,1
21,Tư tưởng Hồ Chí Minh,2,1,Đại cương,1
22,Lịch sử Đảng Cộng sản Việt Nam,2,1,Đại cương,1
23,Xác suất thống kê,2,1,Đại cương,1
24,Vật lý hiện đại (Lượng tử - Nguyên tử - Hạt nhân),2,1,Đại cương,1
25,Kinh tế đại cương ,2,0,Đại cương,1
26,Tâm lý đại cương ,2,0,Đại cương,1
27,Phương pháp luận sáng tạo ,2,0,Đại cương,1
28,Khoa học trái đất ,2,0,Đại cương,1
29,Môi trường đại cương ,2,0,Đại cương,1
30,Hàm phức,2,1,Cơ sở ngành,1
31,Thực hành vật lý cơ sở,2,1,Cơ sở ngành,1
32,Anh văn 3,2,2,Cơ sở ngành,1
33,Phương pháp tính,2,1,Cơ sở ngành,2
34,Các phương pháp toán lý,2,1,Cơ sở ngành,2
35,Điện tử cơ bản,2,1,Cơ sở ngành,2
36,Cơ lượng tử 1,2,1,Cơ sở ngành,2
37,Vật lý hạt nhân,2,1,Cơ sở ngành,2
38,Điện động lực,2,1,Cơ sở ngành,2
39,Anh văn 4,2,2,Cơ sở ngành,2
40,Vật lý chất rắn,3,1,Cơ sở ngành,1
41,Vật lý thống kê ,3,1,Cơ sở ngành,1
42,Vật lý nguyên tử,3,1,Cơ sở ngành,1
43,Cơ sở vật lý phóng xạ,3,1,Chuyên ngành,1
44,Kỹ thuật ghi nhận bức xạ,3,1,Chuyên ngành,1
45,Sinh học bức xạ,3,1,Chuyên ngành,1
46,Cơ thể học và sinh lý học,3,1,Chuyên ngành,1
47,Phân tích thống kê số liệu thực nghiệm trong kỹ thuật hạt nhân,3,1,Chuyên ngành,2
48,Thực tập cơ sở kỹ thuật hạt nhân,3,1,Chuyên ngành,2
49,An toàn bức xạ,3,1,Chuyên ngành,2
50,Cơ sở vật lý trong xạ trị,3,1,Chuyên ngành,2
51,Cơ sở vật lý trong y học hạt nhân,3,1,Chuyên ngành,2
52,Điện tử y sinh ,3,0,Chuyên ngành,2
53,Vật lý y sinh ,3,0,Chuyên ngành,2
54,Nguyên lý và ứng dụng máy gia tốc ,3,0,Chuyên ngành,2
55,Thực tập cơ sở vật lý y khoa,4,1,Chuyên ngành,1
56,Thực tập chuyên đề vật lý y khoa,4,1,Chuyên ngành,1
57,Thiết bị chẩn đoán và xử lý ảnh y khoa,4,1,Chuyên ngành,1
58,Ứng dụng tin học trong kỹ thuật hạt nhân ,4,0,Chuyên ngành,1
59,Ứng dụng kỹ thuật hạt nhân trong công nghiệp ,4,0,Chuyên ngành,1
60,Ứng dụng kỹ thuật hạt nhân trong môi trường và thủy văn ,4,0,Chuyên ngành,1
61,Vật lý hạt cơ bản ,4,0,Chuyên ngành,1
62,Thiết bị và quy trình kỹ thuật trong chuẩn đoán hình ảnh ,4,0,Chuyên ngành,1
63,Khóa luận tốt nghiệp,4,0,Tốt nghiệp,2
64,Vật lý y khoa,4,0,Tốt nghiệp,2
65,Mô phỏng các bài toán trong Vật lý y khoa,4,0,Tốt nghiệp,2
66,Seminar tốt nghiệp,4,0,Tốt nghiệp,2
